Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost ($),Cost ($)
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-88b03bea,firecloud.org > prod > CommunityWorkbench,Compute Engine,6F81-5844-456A,Custom Instance Ram running in Americas,51E2-59BD-7A6E,,Usage,2024-05-20,2024-05-30,"201,774.988",gibibyte hour,897.091396,897.09
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-88b03bea,firecloud.org > prod > CommunityWorkbench,Cloud Storage,95FF-2EF5-5EA1,Autoclass Standard Storage Iowa,E324-3A47-63B4,,Usage,2024-05-20,2024-05-30,"17,061.226",gibibyte month,341.224520,341.22
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-88b03bea,firecloud.org > prod > CommunityWorkbench,Cloud Storage,95FF-2EF5-5EA1,Autoclass Management Fee,CF60-426C-8557,,Usage,2024-05-20,2024-05-30,"1,069,187,231",second,0.001026,0.00
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-88b03bea,firecloud.org > prod > CommunityWorkbench,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Frankfurt to Americas,BE6F-687A-D530,,Usage,2024-05-20,2024-05-31,0.001,gibibyte,0.000000,0.00
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,Aldubayan-lab-DFCI,aldubayan-lab-dfci,broadinstitute.org,Cloud Storage,95FF-2EF5-5EA1,Autoclass Management Fee,CF60-426C-8557,,Usage,2024-05-18,2024-05-30,"122,427,383",second,0.000117,0.00
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-88b03bea,firecloud.org > prod > CommunityWorkbench,Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,,Usage,2024-05-17,2024-05-31,"11,564.727",gibibyte month,462.588343,462.59
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-88b03bea,firecloud.org > prod > CommunityWorkbench,Compute Engine,6F81-5844-456A,Spot Preemptible Custom Instance Core running in Americas,4A30-9DBE-ECEA,,Usage,2024-05-17,2024-05-31,"44,447.708",hour,339.018028,339.02
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-88b03bea,firecloud.org > prod > CommunityWorkbench,Compute Engine,6F81-5844-456A,Spot Preemptible Custom Instance Ram running in Americas,AFAD-A1BD-4F9C,,Usage,2024-05-17,2024-05-31,"194,969.204",gibibyte hour,190.664436,190.66
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-88b03bea,firecloud.org > prod > CommunityWorkbench,Compute Engine,6F81-5844-456A,External IP Charge on a Spot Preemptible VM,4AF8-7C1F-39C4,,Usage,2024-05-17,2024-05-31,"9,866.815",hour,24.666559,24.67
Onix - DFCI - AlDubayan Lab,01DC30-264DCD-B34E70,DFCI-aldubayan-lab--KAnderson-,terra-88b03bea,firecloud.org > prod > CommunityWorkbench,Networking,E505-1604-58F8,Network Intelligence Center Network Analyzer Resource Hours,9BF8-CD36-F9B8,,Usage,2024-05-17,2024-05-31,"19,776",count,21.753600,21.75
